A,0
B,1
C,2
D,3
E,4
F,5
G,6
H,7
I,8
J,9
K,10
L,11
M,12
N,13
O,14
P,15
Q,16
R,17
S,18
T,19
U,20
V,21
W,22
X,23
Y,24
Z,25
a,26
b,27
c,28
d,29
e,30
f,31
g,32
h,33
i,34
j,35
k,36
l,37
m,38
n,39
o,40
p,41
q,42
r,43
s,44
t,45
u,46
v,47
w,48
x,49
y,50
z,51
0,52
1,53
2,54
3,55
4,56
5,57
6,58
7,59
8,60
9,61
",",62
.,63
?,64
/,65
!,66
%,67
:,68
(,69
),70
&,71
*,72
"""",73
、,74
\,75
+,76
-,77
=,78
[,79
],80
<,81
>,82
;,83
@,84
$,85
￥,86
^,87
#,88
~,89
{,90
},91
吖,92
阿,93
啊,94
锕,95
嗄,96
哎,97
哀,98
埃,99
唉,100
锿,101
挨,102
捱,103
皑,104
癌,105
矮,106
蔼,107
霭,108
艾,109
砹,110
爱,111
隘,112
碍,113
嗳,114
嗌,115
嫒,116
瑷,117
暧,118
安,119
桉,120
氨,121
庵,122
谙,123
鹌,124
鞍,125
俺,126
埯,127
铵,128
揞,129
犴,130
岸,131
按,132
胺,133
案,134
暗,135
黯,136
肮,137
昂,138
盎,139
凹,140
敖,141
遨,142
嗷,143
廒,144
獒,145
熬,146
聱,147
螯,148
翱,149
鳌,150
鏖,151
袄,152
媪,153
岙,154
坳,155
傲,156
奥,157
骜,158
澳,159
懊,160
鏊,161
八,162
巴,163
扒,164
叭,165
芭,166
岜,167
疤,168
捌,169
笆,170
粑,171
拔,172
茇,173
菝,174
跋,175
魃,176
把,177
靶,178
坝,179
爸,180
罢,181
鲅,182
霸,183
灞,184
吧,185
掰,186
白,187
百,188
佰,189
柏,190
捭,191
摆,192
败,193
拜,194
稗,195
扳,196
班,197
般,198
颁,199
斑,200
搬,201
瘢,202
癍,203
阪,204
坂,205
板,206
版,207
钣,208
舨,209
办,210
半,211
伴,212
拌,213
绊,214
瓣,215
扮,216
邦,217
帮,218
梆,219
浜,220
绑,221
榜,222
蚌,223
棒,224
傍,225
谤,226
蒡,227
磅,228
镑,229
勹,230
包,231
苞,232
孢,233
胞,234
龅,235
煲,236
褒,237
雹,238
薄,239
宀,240
饱,241
宝,242
保,243
鸨,244
葆,245
堡,246
褓,247
报,248
抱,249
趵,250
豹,251
鲍,252
暴,253
爆,254
陂,255
杯,256
卑,257
悲,258
碑,259
鹎,260
北,261
贝,262
孛,263
邶,264
狈,265
备,266
背,267
钡,268
倍,269
悖,270
被,271
辈,272
惫,273
焙,274
蓓,275
碚,276
褙,277
鞴,278
鐾,279
呗,280
奔,281
贲,282
锛,283
本,284
苯,285
畚,286
坌,287
笨,288
崩,289
绷,290
嘣,291
甭,292
泵,293
迸,294
甏,295
蹦,296
逼,297
荸,298
鼻,299
匕,300
比,301
吡,302
妣,303
彼,304
秕,305
笔,306
俾,307
舭,308
鄙,309
币,310
必,311
毕,312
闭,313
庇,314
畀,315
荜,316
毖,317
哔,318
陛,319
毙,320
铋,321
狴,322
萆,323
庳,324
敝,325
婢,326
筚,327
愎,328
弼,329
蓖,330
跸,331
痹,332
滗,333
裨,334
碧,335
蔽,336
箅,337
弊,338
薜,339
篦,340
壁,341
避,342
嬖,343
髀,344
濞,345
臂,346
璧,347
襞,348
边,349
砭,350
笾,351
编,352
煸,353
蝙,354
鳊,355
鞭,356
贬,357
窆,358
扁,359
匾,360
碥,361
褊,362
卞,363
弁,364
苄,365
汴,366
忭,367
变,368
便,369
遍,370
缏,371
辨,372
辩,373
辫,374
标,375
飑,376
髟,377
彪,378
骠,379
膘,380
飙,381
镖,382
